Key,Value
top_0,0.2353
top_1,0.2337
top_11,0.1768
top_21,0.1632
top_31,0.1555
top_41,0.1514
top_51,0.1326
top_61,0.1289
top_71,0.1273
top_81,0.1308
top_91,0.1305
top_101,0.1265
top_111,0.1221
top_121,0.1281
top_128,0.1268
bottom_0,0.2353
bottom_1,0.2347
bottom_11,0.2338
bottom_21,0.2305
bottom_31,0.2294
bottom_41,0.2345
bottom_51,0.2336
bottom_61,0.2322
bottom_71,0.2283
bottom_81,0.2313
bottom_91,0.2200
bottom_101,0.2039
bottom_111,0.1882
bottom_121,0.1548
bottom_128,0.1268
